# Force coefficients
# liftDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 1.000000000000e+00
# lRef              : 1.000000000000e+00
# Aref              : 1.000000000000e+00
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              	Cm                  	Cd                  	Cl                  	Cl(f)               	Cl(r)               
0.1254              	-1.368520466531e-05	1.847326760694e+00	-3.448480700534e-05	-3.092760816798e-05	-3.557198837359e-06
0.1276              	-1.412034530827e-05	1.841351069281e+00	-3.358077770926e-05	-3.091073416290e-05	-2.670043546357e-06
0.1298              	-1.454860164526e-05	1.835506001689e+00	-4.728879066132e-05	-3.819299697591e-05	-9.095793685402e-06
0.132               	-1.496872067120e-05	1.829679383130e+00	-5.953483245134e-05	-4.473613689687e-05	-1.479869555446e-05
0.1342              	-1.538919244901e-05	1.823825603299e+00	5.891437062479e-06	-1.244347391777e-05	1.833491098025e-05
0.1364              	-1.579292071956e-05	1.818105400344e+00	-6.185154904047e-05	-4.671869523980e-05	-1.513285380067e-05
0.1386              	-1.620332139938e-05	1.812402993305e+00	2.637315774864e-05	-3.016742525059e-06	2.938990027369e-05
0.1408              	-1.659117278296e-05	1.806870654347e+00	-9.051511051676e-05	-6.184872804134e-05	-2.866638247542e-05
0.143               	-1.699172336219e-05	1.801233583963e+00	4.863113413424e-05	7.323843704930e-06	4.130729042931e-05
0.1452              	-1.736596045040e-05	1.795761068976e+00	-8.383598816611e-05	-5.928395453345e-05	-2.455203363265e-05
0.1474              	-1.775524127247e-05	1.790216460785e+00	7.038576806057e-05	1.743764275781e-05	5.294812530276e-05
0.1496              	-1.811651941530e-05	1.784524751851e+00	-6.530793126653e-05	-5.077048504856e-05	-1.453744621797e-05
0.1518              	-1.849082721918e-05	1.779158031647e+00	1.043378278660e-04	3.367808671382e-05	7.065974115218e-05
0.154               	-1.884146195803e-05	1.774063441790e+00	-1.323027707539e-04	-8.499284733496e-05	-4.730992341890e-05
0.1562              	-1.920830745996e-05	1.768739071324e+00	8.052146811359e-05	2.105242659683e-05	5.946904151676e-05
0.1584              	-1.954282445041e-05	1.763725877177e+00	-7.010837497817e-05	-5.459701193949e-05	-1.551136303868e-05
0.1606              	-1.990067613073e-05	1.758464047653e+00	7.459852902259e-05	1.739858838056e-05	5.719994064203e-05
0.1628              	-2.022090870938e-05	1.753743329585e+00	-9.968318689544e-05	-7.006250215710e-05	-2.962068473834e-05
0.165               	-2.057328513044e-05	1.748594490533e+00	5.997124052144e-05	9.412335130278e-06	5.055890539116e-05
0.1672              	-2.087443457909e-05	1.743939390226e+00	-1.098359926884e-04	-7.579243092331e-05	-3.404356176513e-05
0.1694              	-2.122383254725e-05	1.739028116906e+00	8.752446673935e-05	2.253840082242e-05	6.498606591693e-05
0.1716              	-2.150928015954e-05	1.734448912034e+00	-1.011815648143e-04	-7.210006256669e-05	-2.908150224761e-05
0.1738              	-2.185195207914e-05	1.729371087248e+00	1.717284704776e-04	6.401228315967e-05	1.077161873180e-04
0.176               	-2.212322421358e-05	1.724840490391e+00	-1.571490785886e-04	-1.006977635079e-04	-5.645131508074e-05
0.1782              	-2.245624781062e-05	1.719899825620e+00	1.692978353842e-04	6.219266988148e-05	1.071051655027e-04
0.1804              	-2.271688422382e-05	1.715683479492e+00	-1.482783044727e-04	-9.685603646019e-05	-5.142226801255e-05
0.1826              	-2.303667284814e-05	1.710911939546e+00	1.518690041317e-04	5.289782921774e-05	9.897117491401e-05
0.1848              	-2.329056439679e-05	1.706559516917e+00	-1.385506815833e-04	-9.256590518844e-05	-4.598477639487e-05
0.187               	-2.359327808145e-05	1.702048637167e+00	1.118795833112e-04	3.234651357415e-05	7.953306973704e-05
0.1892              	-2.384508243789e-05	1.698020393591e+00	-9.629430093099e-05	-7.199223290339e-05	-2.430206802760e-05
0.1914              	-2.412776930622e-05	1.693776791237e+00	6.235840570751e-05	7.051433547532e-06	5.530697215998e-05
0.1936              	-2.437899474282e-05	1.689634101155e+00	-7.130194178684e-05	-6.002996563624e-05	-1.127197615060e-05
0.1958              	-2.464724987449e-05	1.685315985396e+00	4.851612245531e-05	-3.891886468326e-07	4.890531110214e-05
0.198               	-2.489349903778e-05	1.681144394545e+00	-2.173425245605e-05	-3.576062526580e-05	1.402637280975e-05
0.2002              	-2.514530600686e-05	1.677218189332e+00	2.677066527526e-05	-1.175997336923e-05	3.853063864449e-05
0.2024              	-2.538163711310e-05	1.673398592885e+00	1.248109548297e-05	-1.914108937161e-05	3.162218485458e-05
0.2046              	-2.562220870464e-05	1.669555263917e+00	-1.462551392560e-05	-3.293496566744e-05	1.830945174184e-05
0.2068              	-2.584919451547e-05	1.665888106547e+00	3.792443381227e-05	-6.886977609333e-06	4.481141142160e-05
0.209               	-2.607956310558e-05	1.662117712374e+00	-4.646199312433e-05	-4.931055966775e-05	2.848566543415e-06
0.2112              	-2.629827128249e-05	1.658468795763e+00	4.755756596264e-05	-2.519488301170e-06	5.007705426381e-05
